;Moyenne de B;Moyenne de G;Moyenne de R
Grain isolé 1;81;76;67
Grain isolé 2;19;18;18
Grain isolé 3;67;62;56
Grain isolé 4;91;85;72
Grain isolé 5;71;68;64
Grain isolé 6;92;80;63
Grain isolé 7;75;69;64
Grain isolé 8;90;82;71
Grain isolé 9;53;51;47
Grain isolé 10;80;77;64
Grain isolé 11;53;48;43
Grain isolé 12;71;69;56
Grain isolé 13;45;43;42
Grain isolé 14;49;45;39
Grain isolé 15;62;59;54
Grain isolé 16;37;35;33
Grain isolé 17;34;32;26
Grain isolé 18;49;49;47
Grain isolé 19;69;65;55
Grain isolé 20;128;121;104
Grain isolé 21;27;26;23
Grain isolé 22;67;63;57
Grain isolé 23;26;24;22
Grain isolé 24;95;89;82
Grain isolé 25;106;101;94
Grain isolé 26;165;152;134
Grain isolé 27;78;75;65
Grain isolé 28;138;133;122
Grain isolé 29;35;33;29
Grain isolé 30;88;83;68
Grain isolé 31;115;110;90
Grain isolé 32;105;99;89
